question_id,question,opa,opb,opc,opd,ans
1,RBC contains?,Iron,Folic acid,Vitamin C,Biotin,0
2,Fibrosis is due to -,TGF-β,TNF -α,IL-7,IL-10,0
3,"During postmoem no tattoo is visible, but according to deceased family, there was a tattoo present. What evidence can indicate the same?",Lymph node,Surrounding subcutaneous tissue,Adipose tissue,Adjacent skin,1
4,Macrodontia is associated with,Acromegaly,Pituitary gigantism,Hypoparathyroidisrn,Hyperthyroidism,1
5,Ability of stem cells to cross barrier of differentiation to transform into a cell of another lineage expressing the molecular characteristics of different cell type with the ability to perform the function of the new cell type is referred as:,De differentiation,Re differentiation,Trans-differentiation,Sub differentiation,2
6,Severe hypovolemic shock occurs when blood volume less is -,> 10 %,> 20 %,> 30 %,>40%,3
7,The prognosis is best in rapidly progressive (crescentic) glomerulonephritis associated with:,Poststreptococcal glomerulonephritis,Systemic lupus erythematosus (SLE),Henoch-Schoenlein purpura,Polyaeritis nodosa,0
8,Most common glial tumor -,EpendYmomas,Astrocytoma,Meningioma,Neurofibroma,1
9,The most characteristic histological finding of acute rheumatic carditis is:(1989),Fibrinous pericarditis,Vegetations on mitral valve leaflets,Aschoff bodies in myocardium,Increased vascularity of the valves,2
10,In an adult Unilateral smooth contracted kidney with hypeension is seen in -,Stenosis of renal aer,Chr. GN,Renal cell CA,Pyelonephritis,0
11,A simple bacterial test for mutagenic carcinogens is -a)  Ames testb)  Redox testc)  Bacteriophaged)  Gene splicing,ab,a,ad,bc,1
12,If a chromosome divides in an axis perpendicular to usual axis of division it is going to form:,Ring chromosome,Isochromosome,Acrocentric chromosome,Subtelocentric chromosome,1
13,Which one of the following is NOT a feature of Kaagener's syndrome -,Bronchiectasis,Ciliary dyskinesia,Pancreatic insufficiency,Situs inversus,2
14,Popcorn-cells' are seen in which variety of hodgkin's disease -,Nodular sclerosis,Mixed cellularity,Lymphocyte predominance,Lymphocyte depletion,2
15,The sequestrated lobe of the lung is commonly supplied by-,Pulmonary artery,Intercostal artery,Descending aorta,Bronchial artery,2
16,Striae of Retzius are prominent in which of the following zones of enamel caries:,Translucent zone.,Dark zone.,Body of the lesion.,Surface zone.,2
17,Periportal fatty infiltration of the liver is seen with -,Alcoholism,Viral hepatitis,Malnutrition,Tetracycline,2
18,Focal length of high power objective lens of microscope?,40mm,16mm,20mm,4mm,3
19,Microarray is,Study of multiple genes,Study of disease,Study of organisms,Study of blood group,0
20,Most characteristic features of actual inflammation in-,Vasoconstriction,Vascular stasis,Vasodilation and increased vascular permeability,Margination of leukocytes,2
21,BRCA1 gene is located on which chromosome?,Chromosome 13,Chromosome 19,Chromosome 21,Chromosome 17,3
22,Diagnosis of X linked Agammaglobulinemia should be suspected if:,Female sex,Absent tonsils and no palpable lymph nodes on physical examination,High isohemagglutinins titers,Low CD3,1
23,WHO cut-off for diagnosis of anemia in non-pregnant females is?,7 g%,10 g%,11 g%,12 g%,3
24,"In Schwann cells, mycobacterium leprae divide in how many days?",2 - 3 days,11 - 13 days,22 - 23 days,32 - 33 days,1
25,Which of the following complications is likely to result after several units of blood have been transfered?,Metabolic acidosis,Metabolic alkalosis,Respiratory alkalosis,Respiratory acidosis,1
26,IgG is normal or slightly reduced in A/E -,Wiskott aldrich syndrome,Selective IgA deficiency,Di George syndrome,Common variable deficiency,0
27,Stem cells are taken from ?,Skin,Bone marrow,Oral mucosa,Elementary tract,1
28,cause of oedema in Glomenulonephritis is :,Increased hydrostatic pressure.,Sodium and water retention.,Lymphatic obstruction.,Reduced plasma oncotic pressure.,1
29,Castleman's disease is associated with?,Necrotizing vasculitis,Benign lymphoid hyperplasia,Necrotizing lymphadenitis,Coagulation defect,1
30,Which of the following are stable cells:,The lining mucosa of the glands,Mesenchymal cells,Nerve cells,Stratified squamous epithelium of the oral cavity,1
31,Average time taken for myocardial infarction to heal completely is -,3 weeks,6 weeks,12 weeks,12 weeks,1
32,Neurofibromatosis shows which of the following mode of inheritance -,AD,AR,X linked dominant,X linked recessive,0
33,What will be the histological findings most likely to be seen in liver biopsy of a 20 year old male who died because of overdose of acetaminophen?,Focal scattered necrosis,Midzonal necrosis,Centrizonal necrosis,Steatohepatitis,2
34,Karyotype of partial mole?,46 XX,46 XY,69 XXY,66 XXY,2
35,Caspases are associated with:,Organogenesis,Hydropic degeneration,Collagen hyalinization,-,0
36,Reticulocytes are stained by ?,Supravital stain,Purssian blue stain,H and E stain,Reticulin stain,0
37,Most common salivary gland tumor -,Mucoepidermoid carcinoma,Pleomorphic adenoma,Warthims tumor,Oncocytoma,1
38,Rheumatoid factor is directed against-,IgG,IgD,IgM,IgA,0
39,In diffuse calcification of pancreas calcium lies in-,Acinar tissues,Interstitium,Pancreatic ducts,Any where,3
40,Hb - Barts is,α2 β2,αo β4,αo γ4,α2 γ2,2
41,Placental ALP is used as tumor marker of,Seminoma,Choricarcinoma,Teratoma,Lymphoma,0
42,Giant cells seen in -a)  Osteoclastomab)  Chondroblastomac)  Chordomad)  Osteitis fibrosa cystica,ac,ab,ad,bc,1
